conversation_id,ground_truth_intent,customer_first_message,support_response
2872546,Account & Login,"@116875 continuo en espera de su respuesta por bloqueo de cuenta 😒
¿Por qué demoran tanto?","@797550 Hola, Alberto. Lamentamos mucho este inconveniente, si ya enviaste los datos solicitados te recomendamos que por favor esperes unas 24 a 48 horas, los compañeros especialistas de cuenta con mucho gusto te estarán dando una respuesta luego de ese plazo.
^CB"
1672035,UNKNOWN,@AmazonHelp # pathetic customer support # worst online shopping experience,"@508917 Sorry to hear this. Without sharing personal/account info, can you please advise what happened ? ^TD"
284368,Returns & Refunds,Major @115821 fail. How in the world can you mistake a 10 ft cable for 6 stainless steel grapefruit spoons! &amp;I can't return them?! #Amazon https://t.co/M1HlLOOElb,"@183731 So sorry for the mix up, Mary! Have you contacted us to see if we can provide a refund/return? https://t.co/hApLpMlfHN ^AD"
1883493,UNKNOWN,"Oh @117795, what ever will I do without you, you save me everytime.✨ #thursdayappreciationtweet",@562076 Happy to hear it :) ^NV
1284564,Returns & Refunds,Going round in circles on your site @AmazonHelp - faulty goods bought 5 months ago. How do I return / get a refund?,@420482 I'm sorry to hear this! Have you had a chance to report this to our Customer Support team: https://t.co/JzP7hlA23B? ^ME
133926,UNKNOWN,"@AmazonHelp 
Any chance for an app of @119625 on @122609 TV? Even @5525 support will be appreciated in the mobile app...

Really hampers the viewing experience...","@146170 You can watch Prime Video on 2015, 2016 and all latest smart TVs from Samsung, Sony, and LG. We don't have any announcement about Prime Video for other living room devices, but stay tuned. ^SF"
130365,UNKNOWN,本日買った宇宙兄弟最新刊とAmazonから届いたspotted神聖かまってちゃん特集。散財の日々である https://t.co/KO73rr47Un,@145397 Amazonをご利用いただき、ありがとうございます！(散財させちゃってスミマセン…)O o｡.(´-`*) RI
301046,UNKNOWN,@115833 Music and Books did not work actual on Echo in Germany - Did you know from this issue?,@187799 Right now we aren't aware of a problem. Reach out to us here for further assistance: https://t.co/UecrMDgcTC Regards ^MI
604986,UNKNOWN,@417 @418  @115830 seriously had enough of this shower of shit. Today mu package gets del. And its a cable! Not a projector https://t.co/HOQaKmnqEo,@263812 I'm sorry to hear about this. Can you contact us here:  https://t.co/JzP7hlRCV9 so we can take a look? ^MI
658006,UNKNOWN,"Boo @115821, received my package today and this was busted! https://t.co/FpmBEL7HU6","@276642 Oh no! Terribly sorry that your product arrived damaged, Katie! We'd love to get that fixed for you. To do that, we'll need you to contact us directly. In order to do that, please use the following link and we'll get you fixed up!  https://t.co/hApLpMlfHN ^JD"
1548704,UNKNOWN,Fire HD 10買うてもうた……。,"@479418 お買い上げいただきありがとうございます！
どうか末永くご利用いただけますよう・・・( ˘ω˘ )　MH"
1986452,UNKNOWN,"Hey, @115821. Why are Prime items delivered in 2 days, but when I switch to a local Amazon Locker that suddenly changes to a week?",@588025 Amazon Lockers can us FREE Two-Day Shipping when the option is available for the item: https://t.co/65dLrpCvkx ^DD
122765,UNKNOWN,@143390 |∀・).｡oO(プライムの特典、これから存分にお楽しみくださいね・・・✨✨)　MH https://t.co/aqMeyGOQV3,Amazonプライム会員だった事をすっかり忘れてた。今更、アプリをダウンロードして見てるけど、便利すぎる。これで月額400円くらいって凄いわ
1727740,UNKNOWN,@AmazonHelp pero dais ayuda en español o no..!??? 🙄 https://t.co/n7blswAzrL,@522474 ¿Cuál es la fecha de entrega exacta que muestra el correo de confirmación del pedido? ^VM
557097,UNKNOWN,@AmazonHelp Received a refund after cancelling prime but then on the same day you sent the refund. You took another £7.99. Can you sort this out please.,"@250080 I'm sorry for the frustration! We don't have access to your account via Twitter. When you have moment, please contact us by phone or chat here: https://t.co/qy3J24VGxb ^AC"
2399810,UNKNOWN,Quando fai un ordine su Amazon e ti parte l'ansia di ricevere il pacco. ❤️ #Amazon #ansia #love,@690536 Intendi così?😂😂❤️ ^VE https://t.co/AfqIvCYtzX
2252892,UNKNOWN,@115821 ur bharuch courier service in BHARUCH is a part of any illegal service PL call them my item pickup 4pm by mo no 9265262938 but not shown,"@149464 I'm sorry about that, I’d like to help you with this, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. Also, please don't provide your contact details, we consider it to be personal information. Our page is visible to the public.^SM"
2367354,UNKNOWN,"@116875 my LOVE! Pedí ayer, recibí hoy 😍😍😍😍 https://t.co/9PZBE2XncY","@683339 Hola, Vanessa. ¡Es lindo saber que has tenido una buena experiencia en Amazon! ❤ Cuéntanos, ¿te han gustado los artículos recibidos? ^DB"
1670252,UNKNOWN,@AmazonHelp Fire TV Stickが起動しません。Stickを電源に繋いでHDMI入力1に差しリモコンに電池を入れましたが、TV画面に　HDMI1 プレーヤー1 (Fire TV Stick)と表示されただけでそれ以上何も出てきません。,@508469 本体は電源と接続されておりますでしょうか。お手数ですがセットアップに関するヘルプページを今一度ご確認いただけますでしょうか→https://t.co/xTVsV7yvKR SK
1275067,UNKNOWN,@169994  will you be in Chicago today?,"@418471 Hi, Tina! You can sign-up for text message alerts for when the treasure truck is in your area here: https://t.co/qrb6vDWoIB ^NN"
608124,UNKNOWN,AmazonでDescendantsのDVD買っちゃったぜ(*^^*)届くの楽しみヾ(*´∀｀*)ﾉ,@264538 (*´∇｀*).｡oO（ご注文ありがとうございます！お届けまで今しばらくお待ちくださいませ～）TN
1377436,UNKNOWN,@AmazonHelp my package got either lost or damage and won’t get delivered. Do I need to reorder or you guys will resend a new one?,@435534 I'm sorry that your order won't be delivered. You can find more info on undeliverable orders here: https://t.co/LnSDUp4mYj ^FJ
1876806,UNKNOWN,@115850 Your customer representative is not behaving properly. They are giving fake information always.,"@560256 We apologize for the hassle caused. Kindly let us know where did we go wrong, we would like to work on it. ^CB"
798815,UNKNOWN,@AmazonHelp now waao see this message !! am waiting for my delivery all my numbers are working and the delivery boy's no was not available,@158235 Please contact us using the above link. We'll look into the issue and will assist you further. ^OS
2671370,UNKNOWN,"@115850 @AmazonHelp Issues in delivery for past 4 packages, same repeats for reverse pickup.",@569741 Sorry for the trouble you've had with the order. Kindly fill in your details here: https://t.co/GIJyeYqKE0 &amp; I'll help you. ^MM
2824676,UNKNOWN,Le petit rire moqueur au téléphone d’ @AmazonHelp sur mon chèque cadeau de 0.36€ que je voulais récupérer me laisse perplexe. Merci @4238 de me perdre mes colis en permanence et super bien fermé ta gueule @14967,"@354934 Je suis désolé pour cette expérience, avez-vous reçu votre remboursement au final ? ^AR"
30498,UNKNOWN,"@115850 Pur 50""Led TV vth extd warranty frm Amazon wch is gvng prblm. Unable 2talk 2some1 in Amazon. Micromax is infmng us 2talk 2 Amazon.",@122715 Kindly elaborate your concern regarding the warranty. We would like to help you. ^CB
2528819,UNKNOWN,The worst Customer Support . Waiting for months to get refund. Even after self returning the product. #amazon #AmazonIndia,"@719991 Sorry to know you're having trouble getting a refund. I'd like to take a closer look into this, please share your details on the link here: https://t.co/GIJyeYqKE0. ^PS"
2663802,UNKNOWN,Shout-out to @115821 for making gift shopping so easy! All gifts have been ordered and are being gift wrapped for me!,@750628 Thank you for shopping at Amazon! We're glad to hear we are part of your Christmas shopping! &lt;3
463377,UNKNOWN,"So, I was just checking the tracking on some of my packages. One from amazon said delivered at 8:35 and I was like no??? I opened the front door to go check..., and there it was. On the pathway. Not the porch, but the pathway. Thanks amzl. 0/10.",@225143 I'm sorry for the poor experience! Please provide your details here: https://t.co/4rRj5eOHAn and a member from my team will escalate the order to Amazon Logistics. Thanks in advance! ^EZ
2358877,UNKNOWN,"No seriously @AmazonHelp this is kind of funny, but how do I return the weird thing I didn't order and maybe get the thing I actually ordered instead? https://t.co/HrsR72Kwp0","@681270 Oh my! I'm so sorry about the error in your order! Let's gather some extra information to see what our options are for you!  Was the item sold by Amazon or a third-party seller? If you're unsure, you can check here: https://t.co/Y5jpI9gRhE  Keep us updated! ^FR"
1286679,UNKNOWN,@115821 preciso entrar em contato com vocês,"@418667 Olá Amanda, poderia nos explicar com mais detalhes o que aconteceu sem publicar detalhes da sua conta? ^DA"
1013766,UNKNOWN,@119625 @AmazonHelp is there xray feature in prime video app on lg webos (smart TV)??! If so how to access it?,@359876 Our prime video support team would be happy to help you out! Please contact us from here: https://t.co/FrpK8OX5IY. ^MP
796497,UNKNOWN,"@120533 qui me livre ma pile et mes pellicules en avance ❤️❤️
Merci d'avoir égayé ma journée nul","@309925 Bonjour, ravie que vous ayez reçu votre colis à temps et j'espère qu'il vous conviendra, passez une bonne journée😍.^FT"
453181,UNKNOWN,@115821 seriously? Not even up to the door? No wonder packages get stolen when they are left in your driveway! #lazy https://t.co/8FBP0tYiCF,@222525 Thank you for bringing this to our attention; who was the carrier listed for this order? You can find this information here: https://t.co/Y5jpI9gRhE ^WM
594593,UNKNOWN,Received this photo from Amazon today asking me what I thought of this photo of their delivery. I wasn’t surprised that it wasn’t there when I got home tonight. Should have left the cash on the step. Pathetic Service. Not for the first time either. https://t.co/l3i0Jqy2fB,@260869 I'm sorry about this delivery experience! Please give us a ring here: https://t.co/JzP7hlA23B so we can look into this with you. ^TR
2538995,UNKNOWN,"Amazonで頼んだパーカーずーっと届かないんだけどどーなってん？
たぶんもう1ヶ月ぐらいはたってると思うんだが。
お金もう払ってあるんだけど、お金取られたー😱",@722089 お届け予定日を過ぎても未着の場合、状況をお調べしますのでURLよりお問い合わせください。Amazonが発送する場合：https://t.co/J6YEizo6qC 出品者が発送する場合：https://t.co/ZXCXcbN3Tv EK
1002202,UNKNOWN,@115850 @AmazonHelp #Amazon #AmazonGreatIndianFestival then a call saying it has been misplaced...(4/6),@353032 We're following up on your concern here: https://t.co/dzQq2HhMEi. Kindly refer. ^VN
320895,UNKNOWN,"@AmazonHelp why offer pre 1pm delivery if you’re not actually going to abide by it? Two days in a row now, no parcel received at all, stupid",@192449 I'm sorry your parcel hasn't arrived! Please phone us here: https://t.co/JzP7hlA23B to report this and discuss re-delivery. ^LB
298477,UNKNOWN,more #amazon deliveries than food deliveries these days 😝 ... Look at that load 😮 . they should probably have a pickup option . @115850 https://t.co/XoGOwzZnNl,@187118 Wow! We're glad you put us ahead of your food 🙂 We'll be sure to consider the pick up option. ^SQ
1151808,UNKNOWN,"@116618 I’m a uk customer, I’m moving to Gibraltar soon. Because Gibraltar is British can I still use my uk subscription ?",@391050 Let's look into this together by phone or chat here: https://t.co/JzP7hlA23B so we can delve deeper and let you know! ^TG
313438,Returns & Refunds,@AmazonHelp Registered a request for replacememt of a defective product 2 weeks back. Twice has it been cancelled/not executed.,@190850 Sorry for the issue with the replacement order. Have you reported to our support team here: https://t.co/00q4Sqj9zL ?^KA
1087658,Order Status & Tracking,"Nice effort @118706 - NOT!! We have a porch, but your carrier put my husbands package out in open, prone to thieves &amp; or rain!! WTH?!? https://t.co/psyceIgwOP",@180005 I'm sorry for the trouble. We want to help any way we can! We can address your feedback here: https://t.co/oDnfMkEjVA ^MO
2777487,Order Status & Tracking,"Quand on commande sur @120533 , la livraison se fait via la Poste ?","@775983 Nous travaillons avec plusieurs transporteurs la poste, TNT, Colis privé, Chronopost,,,"
1030190,UNKNOWN,"こんなメッセージが届いた。新しい詐欺の手口
        ↓
有料動画の未納料金が発生しています。本日中にご連絡なき場合、法的手続きに移行します。アマゾン(株)受付センター　03-6635-0491","@363742 (*´-`).｡oO(ご存知かと思いますが、当サイトからのご請求ではございませんので、ご連絡されませんように。。。)
また、携帯大手3社をご利用の場合には、迷惑メール対策として、申告窓口を設置しています。今後受信しないためにも、各窓口へご申告ください。TY"
2004743,UNKNOWN,"@115850 Hello, I have a prime membership but I don't get anything in less than 3 days. Why so?",@592828 Certain products are not eligible for guaranteed delivery due to courier constraints for certain pincodes. ^HA
754157,UNKNOWN,"Also @116316 macht's mir mal wieder richtig schwer, mich zu entscheiden. 🤣 https://t.co/xGAfwUxnae",@300259 Wirklich schwierig .... 😀 ^VM
2667402,UNKNOWN,@115850 your delivery boys mark package as delivered before actually delivering it. It’s not right nor ethical to first mark item as delivered and then come to deliver it. I have noticed it multiple times now. This is for pin Hyderabad 500049.,@478638 It is a matter of concern. Kindly submit the feedback on delivery here: https://t.co/BOC2qI06T6. We'll work on it. ^HR
166510,UNKNOWN,"Alô @117086, cadê meu email de confirmação de compra?","@154675 Olá, algumas vezes o e-mail pode demorar até uma hora. Sugiro aguardar um pouco e também verificar na caixa de lixo do seu e-mail. ^LG"
2441715,UNKNOWN,".@115821 ... Guess I'm keeping the extra box you shipped me today. 

No place in your system to ""advise you that I received someone else's shipment"".

TSK TSK TSK","@700231 Hello, thanks for reaching out to us! I'm sorry someone else's order was delivered to you today; you can return it to us by clicking on this link: https://t.co/beoQ8iP1X7 and selecting ""Received extra item I didn't buy"" to print out a pre-paid return label. ^KL"
1404030,UNKNOWN,"@AmazonHelp hey Amazon. Where's my order? It's been showing as arriving today, for the past 3 days?!? I'm getting impatient. https://t.co/sGaSq2Btlg",@446424 Oh no! Who is the carrier? You can find that out here: https://t.co/Y5jpI9gRhE ^BA
1642712,UNKNOWN,Amazon primeはいいぞ。 https://t.co/LpWUpytkz0,"@502124 (*´艸｀).｡oO(お褒めいただきありがとうございます・・・！)
プライム会員特典：　「蒼穹のファフナー」コンプリートベストアルバム＞https://t.co/OR0Xjti4uB　MH"
379632,UNKNOWN,They are asking for details which I already shared with screen shots no support from Amazon India https://t.co/8GTCHay8jy,@199412 Kindly reply to the email sent by our team here https://t.co/8DAc10S7ww for us to assist you better on this. ^VM
2930070,UNKNOWN,Amazonプライムビデオ有料のところが再生出来なくなってんだけど教授これは一体,@810549 突然失礼いたします、公式サポートです。プライム・ビデオが再生できないとのことでございますが、何かエラーメッセージなどは表示されておりますか？また「有料のところ」とのことですが、プライム・ビデオ対象作品ではなく「購入・レンタル作品」のことでしょうか？TN
1147891,UNKNOWN,@AmazonHelp if I order something on amazon US how much is shipping?,@390144 You can find more information about shipping rates and how they're determined here: https://t.co/lmtIcHdnS4 ^MO
272471,UNKNOWN,I've always loved #Amazon and @AmazonHelp just came out of the blue to help me find an item I couldn't locate. Just another reason the rock!,"@180890 Thank you so much! I'm glad we were able to find it for you, and we really appreciate the feedback. You made our day! 😃👞👍"
1700101,UNKNOWN,@115821 logistics are basically a bunch of morons that couldn't qualify as uber drivers and now fuck up deliveries instead. #amzl,@222893 Sorry for the trouble! Without providing account/personal details could you tell us more about the issue at hand? ^VB
845497,UNKNOWN,"まじおこなんやけど💢💢💢
ワイのクレカ不正利用した奴なんなん、
Amazonギフトカード2万×2とかふざけとんのかよ💢💢💢",@320966 失礼いたします。心当たりのない請求がAmazonから発生している場合、お調べいたしますので文末のリンクからカスタマーサービスにお問い合わせをお願いします。https://t.co/J6YEizo6qC 　お問合せ済みでしたら何卒ご容赦ください。　SN
2728900,UNKNOWN,WTF IS THIS @115850!!!! How can you have false status updates without delivering the product... this is so misleading,@765127 I'm sorry about the inaccurate tracking update. Please report this to our support team here: https://t.co/vlvfJr4nN9 in order for us to assist you. ^HS
2152584,UNKNOWN,Trying to figure out our new @118706 person who doesn’t deliver packages to my door. Why am I️ paying for @115821 prime when nothing is delivered and I️ have to go to the post office to pick them up? #talkamongstyourselves,@632539 We definitely want to make sure you receive your deliveries! Let's look into this further here: https://t.co/hApLpMlfHN ^ML
2120829,UNKNOWN,@115821 why don’t you ever DELIVER MY STUFF ON THE “Guaranteed” FUCKING DELIVERY DATE. Y U GOTTA LIE TO ME,@624884 We'd like to help! What was the delivery date given in your confirmation e-mail here: https://t.co/wSZ03ySEV2? ^KP
2858260,UNKNOWN,@115830 @34975 the app doesn’t work on iOS. It’s ‘not trusted’ any idea (besides getting an android device) how to resolve this issue? #AmazonFlex,"@794332 We'd love to help! Please click here: https://t.co/Eh56MFW0q9 and search, ""downloading the app."" Let us know if this fixes the issue! ^NM"
2810298,UNKNOWN,"Amazonから未だに
物が届かないんですがそれは",@783725 ご心配をおかけしております。お届け予定日を過ぎても未着の場合は、こちらからご連絡ください。https://t.co/J6YEizo6qC 出品者が発送する商品の場合、お手数ですが以下をご参照のうえ出品者までご連絡ください。https://t.co/bpqWb4Zbe4 YM
1097359,UNKNOWN,Amazonで頼んだ荷物が噂のデリバリープロパイダで届くらしいんてすけど、すでに2時間半遅延してるし連絡はないし、サイトもお届け情報更新されなくて今日届くかも不安なんだけど、ここまでくると楽しくなってくる,@378944 ご迷惑をおかけしております。配送業者へご確認いただきましても解決に至らない場合には、お手数ですがAmazonカスタマーサービスへお問い合わせください。https://t.co/J6YEizo6qC どうぞよろしくお願いいたします。SK
1777517,UNKNOWN,@115821 Tried so hard for so long to get a prime account activated but your website just wouldn't let me. Why don't you want my money? What gives?,@534104 Can I ask what site you were trying to set this up on and what error message you were getting? ^KI
537576,UNKNOWN,"@115821 hi ordered 2 books off Amazon the 3rd of october, they got delayed. is there any way i can track them, this has taken so long","@244604 I'm sorry you have not received your books! Please reach out to us here,  https://t.co/hApLpMlfHN . We want to help!

-RD"
2376140,UNKNOWN,@115850 I wanna work in yur advertisement,@685372 Please reach us via https://t.co/CNHA4voaWH and we'll help you out here. ^VM
245832,UNKNOWN,"@AmazonHelp I have a motherboard that's not opened, is there anyway I can return it for a newer product and pay the difference?",@161244 You can look into available return/refund options here: https://t.co/z9qYFxXqai. Let us know if you need anything else. ^CE
173545,UNKNOWN,@116875 compré un producto de Amazon EEUU y me llegó otra cosa https://t.co/5SNdAxuDuj,@156631 ¡Hola Eduardo! Sentimos los inconvenientes con tu pedido. Te recomendamos que contactes a nuestro departamento de Servicio al Cliente en el siguiente enlace: https://t.co/beR78zMMYB para que puedan verificar con más detalle y ofrecerte las gestiones necesarias.  ^PC
2282005,UNKNOWN,@115821 @AmazonHelp @115851 you guys should add #donation moments like this to your checkout! would get millions of dollars to #charities with your high volume https://t.co/VgpVk9sTeC,"@418187 AmazonSmile is an automatic way for you to support your favorite charity every time you purchase. To do this, just shop at https://t.co/HnTES1gHzP from the web browser on your computer or mobile device. More info: https://t.co/GT914DyVDu  ^EP"
639513,UNKNOWN,He comprado: SAMSUNG GALAXY S8 PLUS GRIS via @116875 https://t.co/Pp2Yaug5JZ,"@271697 ¡Hola! ¡Nos encanta que hayas encontrado justo lo que buscabas en nuestra tienda! Nos esforzamos para brindarte variedad en los productos, hay oportunidades que deben aprovecharse! 😀✨  ^PC"
2566987,UNKNOWN,Some of he best online #CustomerService I have experienced lately goes out to @71455 and @AmazonHelp! Amazing work!!!,@255584 It's AMAZING customers like you that make our job a piece of cake! :) ^AP
835813,UNKNOWN,@115850 paid ordr undlvrd &amp;hve rcvd a msg it is dlvrd.Ur rep hs cme to collect bk d undeliverd orde.Wat a scam!!Nt dlvrd msg frm #Amazon https://t.co/Jz9UDf9am7,@318973 We've responded to your query here: https://t.co/Gxw7de6K1B. Kindly check. ^PS
274036,UNKNOWN,@115833 i need u to dm me asap very important,"@181480 Hi Bridget, we do not have the option to DM you. However, you can DM us here. ^TP https://t.co/1XyLaGkcaN"
2798369,UNKNOWN,"I want to know who has the best black friday/cyber monday deals? 

@115821, watz good?",@780768 OH! We know the answer to this one! Check out our awesome Black Friday deals here: https://t.co/uJpBCRdGJe
659356,UNKNOWN,@AmazonHelp Angelo Fuentez jr just signed up to @115821 using my email address. Please make him change it and require verification in the future.,@277003 We'd like to look into this with you! Please reach us here: https://t.co/hApLpMlfHN ^AG
2819222,UNKNOWN,"First time using @115821 #lockers: they are quick and easy.  Scan your code and then locker with your package pops open!  

The interface will even remind you to shut the door once you've taken your package.  You will get an email confirmation when you leave. https://t.co/Wh5ZDb6zfL",@785820 Thanks for taking the time to share your thoughts about Amazon Locker! Just another way we're trying to make things much more convenient for you!
319200,UNKNOWN,@AmazonHelp my review is not posted just bcoz i mentioned that the trimmer received was not sealed and it was returned by sum1 n sent to me,@192133 That shouldn't be the case at all. I am sharing your comments internally to work on. ^CB
1152656,UNKNOWN,"@115830 I bought a Fire Tablet Kids from PCWorld in May 2017, the charging port is broken, do I take it back to store or send to you?","@391229 Oh my! I'm sorry about the Kindle's port being broken, Karl! Please ring us: https://t.co/JzP7hlA23B for real-time help w/this! ^FR"
797453,UNKNOWN,@115830 Hi! Is there any way I can stop parcels being left with neighbours when I am out? Thanks.,"@146376 Hi, Catherine! You can learn how to set unattended delivery preferences here: https://t.co/xlPnkVVufg Hope this helps!  ^LB"
1387059,UNKNOWN,"@116316 und täglich ruft das Murmeltier...

Noch im Juli konnte ich den Vorgänger problemlos nach Österreich bestellen...

nun kann ich weder das zuvor gekaufte noch den Nachfolger bestellen.

Werden Österreicher in Zukunft überhaupt noch was bestellen dürfen? https://t.co/bBsYuMduiv","@442759 Bitte habe Verständnis, dass hier die Versandrestriktionen beim Verkäufer liegen, auch wenn wir den Versand für diesen übernehmen. Ganz liebe Grüße und hab einen tollen Start in den Tag. ^TG"
2184559,UNKNOWN,"@AmazonHelp hola, hice un pedido que figura entregado y no lo recibí! dónde puedo hacer el reclamo?","@639855 Hola Camilo. Lamentamos lo sucedido con tu pedido, te recomendamos verificar la siguiente información: https://t.co/nkUkXZCMS4 ^HC"
2746061,UNKNOWN,Another day another @116090 order late via @137088,@769009 I'm sorry you haven't received your order! What is the current order and shipping status shown here: https://t.co/PyACxvGxrO? ^ME
1104630,UNKNOWN,"Want to give a shout-out to @AmazonHelp ordered a case that said ""delivered"" but never showed, issued a refund immidiately! Amazing service!","@380665 Thanks for the feedback, Darin! We're happy to help! Enjoy the rest of the day. 😁 ^SE"
468808,UNKNOWN,@115850 : My parcel has been delivered to someone else. And the dealer is not giving POD. Is this kind of service the amazon provides ?,"@226622 This is certainly not the kind of services we want to provide, Ashok. We would like to take a closer look into this. Please share your details here: - https://t.co/beaaDm0muc and we'll get back to you at the earliest. ^SC"
1118044,UNKNOWN,Got everything I wanted for my birthday but I’m still waiting on the d and this package from amazon.,@383805 Hey Melvin. Do you have an order outstanding?  PS. Happy Birthday :-D ^TP
1073753,UNKNOWN,Yes you. And ONLY you. YOUR drivers. and MY frustation.  Several times this past year....YOUR staff just can’t deliver to my home and office https://t.co/QXmzedfrPP,@373086 I'd like a member of my team to look into this for you. Please provide us your info here: https://t.co/VC0PJUueZn ^AD
579814,UNKNOWN,"@115850 I have Amazon pay Add money Rs.6499/- and as time offer 15%cashback up to 100 but 1month pass add money but not get cash back then please check order ID and early credit my cash back
Order ID-408-3044318-7854746
Date of Txn.-3rdNov2017
Amt.-6499/-","@256559 I'm sorry to learn about the cash back issues; kindly share your details in this secured link: https://t.co/GIJyeYqKE0. We'll check and reach out to you with an update. Also, please don't provide your order details, we consider it personal information.  ^VN"
2599753,UNKNOWN,@115850 received 3rd #Amazon pantry order and 3rd time items missing. The seal of the package in the box is clearly tampered with. https://t.co/BHupNb75SP,@449287 I'm sorry some of the items were missing from the package. We'll surely take these comments as a feedback and work on it. Please reach our support team through the link here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SC
840490,UNKNOWN,@115850 's biggest joke is Amazon Transportation services. #DeliverOnTimeOrGoHome,"@319547 I understand your concern, I've noted your comments and have forwarded your feedback internally.(1/2) ^VR"
2726745,UNKNOWN,"Another fraud by @115821 , handset not delivered, but status showing as Delivered... Chor #Amazon @AmazonHelp @115850 https://t.co/cJiPumzQoZ","@146700 My apologies for the delivery issues, we certainly didn't expect this to happen. Did you happen to report this to our support team here: https://t.co/T6y6Xlutbs? ^VN"
2657342,UNKNOWN,"@749142 @AmazonHelp Hey there, definitely reach out to us via your Amazon account so we can assist in figuring out what happened to this package.",@AmazonHelp Hi. Ordered a @749143 lens via @115821 and @118706 lost it. The sender didn’t insure the package so I can’t make file a claim on it. What are my options?
2511461,UNKNOWN,@AmazonHelp having random people deliver my packages makes me not want to use prime anymore. Not safe for your customers.,@330787 Hi there. Are you experiencing an issue with a current order: https://t.co/q4LAMZ3tbE? Can you please confirm the carrier? ^AM
240501,UNKNOWN,"@115850 worst shopping app
I bought a 25 let. Water heater. They returned it without my return request and said you have already requested",@173123 Sorry for the trouble Rahul. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN
2360535,UNKNOWN,"@116090 hey Amazon I have a huge problem, I forgot to end my free trial Prime membership that I didn't want in the first place. Can you help me to cancel it and the payment ? I really want my 80 bucks back",@681673 Hello Justine. You can cancel your Prime membership anytime here: https://t.co/KseSuczrh2 Hope this helps! ^SK
2460686,UNKNOWN,Has anyone who ordered @95694 tickets with @120474 received them yet?  Odd that there is no way you can check on the progress of the transaction...,"@704589 Hey Hassan, what date is the concert? Tickets are shipped or available for pick up close to the date itself. You can check the help page here: https://t.co/2kXeu9bRnI ^BD"
